City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Vaini,TO,75.4,clear sky,-21.2,-175.2,Keleti Beach Resort
2,Ambilobe,MG,75.96,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
7,Souillac,MU,71.37,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
9,Rikitea,PF,75.0,light rain,-23.1203,-134.9692,People ThankYou
13,Cockburn Town,TC,84.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
15,Katobu,ID,74.46,overcast clouds,-4.9408,122.5276,La Ode Husein
20,Ugoofaaru,MV,81.07,few clouds,5.6667,73.0,Ungoofaaru Inn
26,Boyolangu,ID,76.41,overcast clouds,-8.1181,111.8935,Yos ega cv
27,Atuona,PF,77.85,clear sky,-9.8,-139.0333,Villa Enata
29,Morro Bay,US,72.25,overcast clouds,35.3658,-120.8499,Inn at Morro Bay
32,Puerto Ayora,EC,72.46,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
38,Hilo,US,81.25,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
44,Alofi,NU,76.55,light rain,-19.0595,-169.9187,Taloa Heights
45,Porto Walter,BR,87.53,overcast clouds,-8.2686,-72.7439,Secretaria de saúde
46,Port Blair,IN,80.37,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
47,Grand Gaube,MU,71.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
49,Taoudenni,ML,87.87,clear sky,22.6783,-3.9836,
51,Avarua,CK,75.25,overcast clouds,-21.2078,-159.775,Paradise Inn
53,Qandala,SO,81.5,few clouds,11.472,49.8728,
55,Kapaa,US,80.47,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
56,Salalah,OM,79.25,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
61,Mahebourg,MU,71.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
64,Itarema,BR,82.22,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
65,Sibolga,ID,76.51,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
72,Panama City,PA,86.79,scattered clouds,8.9936,-79.5197,Riande Urban Hotel
75,Ixtapa,MX,87.22,broken clouds,20.7,-105.2,Hotel Plaza Providencia
79,Asyut,EG,82.0,overcast clouds,27.181,31.1837,Florence Hotel Assiut
80,Nizwa,OM,76.21,clear sky,22.9333,57.5333,Orient Apartments
82,Trairi,BR,81.57,few clouds,-3.2778,-39.2689,janelas do mar
83,Harper,LR,78.12,overcast clouds,4.375,-7.7169,Screensaver
87,Bathsheba,BB,81.99,scattered clouds,13.2167,-59.5167,Atlantis Hotel
89,Hithadhoo,MV,82.87,light rain,-0.6,73.0833,Scoop Guest House
90,Maragogi,BR,77.97,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
93,Gat,IL,72.39,scattered clouds,31.61,34.7642,OlusHome
