City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Vaini,TO,-21.2,-175.2,75.4,75,9,14.83,clear sky
1,Port Alfred,ZA,-33.5906,26.891,63.97,89,69,7.49,broken clouds
2,Ambilobe,MG,-13.2,49.05,75.96,80,98,1.68,light rain
3,Tasiilaq,GL,65.6145,-37.6368,24.96,62,83,6.17,broken clouds
4,Hasaki,JP,35.7333,140.8333,52.2,60,84,6.15,broken clouds
5,Bredasdorp,ZA,-34.5322,20.0403,58.28,95,73,4.32,broken clouds
6,Jingdezhen,CN,29.2947,117.2079,56.17,79,16,4.41,light rain
7,Souillac,MU,-20.5167,57.5167,71.37,77,23,3.76,few clouds
8,Fortuna,US,40.5982,-124.1573,65.43,74,90,1.01,overcast clouds
9,Rikitea,PF,-23.1203,-134.9692,75.0,85,100,21.14,light rain
10,Thompson,CA,55.7435,-97.8558,37.56,75,75,11.5,broken clouds
11,Port Hardy,CA,50.6996,-127.4199,44.74,56,73,4.97,broken clouds
12,Mataura,NZ,-46.1927,168.8643,55.26,56,100,8.21,overcast clouds
13,Cockburn Town,TC,21.4612,-71.1419,84.16,65,40,9.22,scattered clouds
14,Mercedes,AR,-34.6515,-59.4307,93.51,27,0,11.23,clear sky
15,Katobu,ID,-4.9408,122.5276,74.46,94,98,1.63,overcast clouds
16,Chokurdakh,RU,70.6333,147.9167,-0.24,98,100,5.3,overcast clouds
17,Albany,US,42.6001,-73.9662,60.22,88,96,1.99,overcast clouds
18,Nanortalik,GL,60.1432,-45.2371,34.02,75,20,3.74,few clouds
19,Airai,TL,-8.9266,125.4092,61.72,91,35,1.19,scattered clouds
20,Ugoofaaru,MV,5.6667,73.0,81.07,76,24,8.01,few clouds
21,Mar Del Plata,AR,-38.0023,-57.5575,60.87,84,99,21.0,overcast clouds
22,New Norfolk,AU,-42.7826,147.0587,53.92,60,83,4.0,broken clouds
23,Sumkino,RU,58.1108,68.3244,25.97,97,99,0.54,light snow
24,Nemuro,JP,43.3236,145.575,49.03,76,38,11.92,scattered clouds
25,Busselton,AU,-33.65,115.3333,42.04,90,87,6.08,overcast clouds
26,Boyolangu,ID,-8.1181,111.8935,76.41,91,100,0.83,overcast clouds
27,Atuona,PF,-9.8,-139.0333,77.85,67,5,17.27,clear sky
28,Tuktoyaktuk,CA,69.4541,-133.0374,16.48,91,66,9.71,broken clouds
29,Morro Bay,US,35.3658,-120.8499,72.25,82,100,4.0,overcast clouds
30,Nicosia,CY,35.1667,33.3667,65.28,82,40,5.75,scattered clouds
31,Barrow,US,71.2906,-156.7887,17.8,93,96,1.79,overcast clouds
32,Puerto Ayora,EC,-0.7393,-90.3518,72.46,80,91,8.55,overcast clouds
33,Bhabua,IN,25.05,83.6167,67.32,50,5,4.83,clear sky
34,Severo-Kurilsk,RU,50.6789,156.125,39.92,84,67,10.89,broken clouds
35,Hobart,AU,-42.8794,147.3294,53.26,66,40,3.0,scattered clouds
36,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,82,20,1.01,volcanic ash
37,Hualmay,PE,-11.0964,-77.6139,68.07,70,86,8.3,overcast clouds
38,Hilo,US,19.7297,-155.09,81.25,80,0,4.43,clear sky
39,Punta Arenas,CL,-53.15,-70.9167,51.12,43,74,7.74,broken clouds
40,Nyurba,RU,63.2842,118.3319,21.83,93,100,8.43,overcast clouds
41,Beringovskiy,RU,63.05,179.3167,5.58,96,97,18.23,overcast clouds
42,Ushuaia,AR,-54.8,-68.3,56.32,38,13,3.58,few clouds
43,Saskylakh,RU,71.9167,114.0833,8.26,94,100,10.63,overcast clouds
44,Alofi,NU,-19.0595,-169.9187,76.55,73,100,15.7,light rain
45,Porto Walter,BR,-8.2686,-72.7439,87.53,51,100,2.01,overcast clouds
46,Port Blair,IN,11.6667,92.75,80.37,81,98,1.72,overcast clouds
47,Grand Gaube,MU,-20.0064,57.6608,71.38,84,8,7.63,clear sky
48,Kruisfontein,ZA,-34.0033,24.7314,56.88,93,0,1.5,clear sky
49,Taoudenni,ML,22.6783,-3.9836,87.87,24,1,4.88,clear sky
50,Havre-Saint-Pierre,CA,50.2334,-63.5986,47.77,59,95,2.86,overcast clouds
51,Avarua,CK,-21.2078,-159.775,75.25,60,100,13.8,overcast clouds
52,Manaia,NZ,-39.55,174.1333,57.79,86,73,14.05,broken clouds
53,Qandala,SO,11.472,49.8728,81.5,71,16,10.8,few clouds
54,Dauphin,CA,51.1494,-100.0502,39.79,75,3,10.8,clear sky
55,Kapaa,US,22.0752,-159.319,80.47,81,4,1.01,clear sky
56,Salalah,OM,17.0151,54.0924,79.25,71,0,8.66,clear sky
57,Tuatapere,NZ,-46.1333,167.6833,50.63,92,100,13.76,overcast clouds
58,Batemans Bay,AU,-35.7167,150.1833,52.11,73,9,3.47,clear sky
59,Longyearbyen,SJ,78.2186,15.6401,17.31,83,95,3.06,overcast clouds
60,Cape Town,ZA,-33.9258,18.4232,63.01,82,0,3.0,clear sky
61,Mahebourg,MU,-20.4081,57.7,71.26,76,28,5.75,scattered clouds
62,Provideniya,RU,64.3833,-173.3,12.6,83,88,10.6,overcast clouds
63,Berat,AL,40.7058,19.9522,56.01,57,0,5.19,clear sky
64,Itarema,BR,-2.9248,-39.9167,82.22,69,35,13.18,scattered clouds
65,Sibolga,ID,1.7427,98.7792,76.51,89,100,2.84,moderate rain
66,Upernavik,GL,72.7868,-56.1549,26.56,57,100,7.58,overcast clouds
67,Hermanus,ZA,-34.4187,19.2345,61.9,83,77,9.69,broken clouds
68,Narsaq,GL,60.9167,-46.05,30.42,70,89,4.43,overcast clouds
69,Bluff,NZ,-46.6,168.3333,54.91,66,89,20.27,overcast clouds
70,Byron Bay,AU,-28.65,153.6167,67.95,89,99,18.92,overcast clouds
71,Goderich,CA,43.7501,-81.7165,52.92,71,100,6.91,overcast clouds
72,Panama City,PA,8.9936,-79.5197,86.79,72,40,9.22,scattered clouds
73,Castro,BR,-24.7911,-50.0119,67.64,84,73,9.35,light rain
74,Port Elizabeth,ZA,-33.918,25.5701,59.09,93,5,3.47,clear sky
75,Ixtapa,MX,20.7,-105.2,87.22,77,51,5.99,broken clouds
76,Hamilton,US,39.1834,-84.5333,59.11,93,100,1.01,overcast clouds
77,Andenes,NO,69.3143,16.1194,40.98,93,100,10.36,overcast clouds
78,Bethel,US,41.3712,-73.414,62.71,89,40,1.99,scattered clouds
79,Asyut,EG,27.181,31.1837,82.0,32,100,14.72,overcast clouds
80,Nizwa,OM,22.9333,57.5333,76.21,32,2,1.5,clear sky
81,Yellowknife,CA,62.456,-114.3525,31.41,84,40,7.0,scattered clouds
82,Trairi,BR,-3.2778,-39.2689,81.57,70,21,10.33,few clouds
83,Harper,LR,4.375,-7.7169,78.12,85,100,5.55,overcast clouds
84,Palmer,US,42.1584,-72.3287,60.35,84,90,5.75,moderate rain
85,Qaanaaq,GL,77.484,-69.3632,2.16,53,0,8.72,clear sky
86,Kungurtug,RU,50.5994,97.5228,27.21,70,47,2.59,scattered clouds
87,Bathsheba,BB,13.2167,-59.5167,81.99,65,37,11.32,scattered clouds
88,Kaitangata,NZ,-46.2817,169.8464,53.85,75,100,3.76,overcast clouds
89,Hithadhoo,MV,-0.6,73.0833,82.87,75,100,18.43,light rain
90,Maragogi,BR,-9.0122,-35.2225,77.97,71,0,8.05,clear sky
91,Flin Flon,CA,54.7682,-101.865,39.04,48,90,14.97,overcast clouds
92,Pevek,RU,69.7008,170.3133,-2.96,96,100,10.63,overcast clouds
93,Gat,IL,31.61,34.7642,72.39,62,35,3.4,scattered clouds
94,Klaksvik,FO,62.2266,-6.589,47.32,92,100,8.68,overcast clouds
95,Luderitz,NA,-26.6481,15.1594,59.5,93,7,5.32,clear sky
96,Dikson,RU,73.5069,80.5464,6.87,92,100,16.6,overcast clouds
97,Lagoa,PT,39.05,-27.9833,70.0,89,100,24.65,overcast clouds
98,Shafranovo,RU,53.9667,54.7667,42.17,92,100,12.37,overcast clouds
99,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,83,75,10.36,broken clouds
100,Cabo San Lucas,MX,22.8909,-109.9124,89.62,67,11,9.24,few clouds
101,Cozumel,MX,20.5083,-86.9458,84.0,62,37,7.0,scattered clouds
102,Nikolskoye,RU,59.7035,30.7861,45.81,93,95,7.47,overcast clouds
103,Cairns,AU,-16.9167,145.7667,73.35,90,60,3.44,broken clouds
104,Zelenoborskiy,RU,66.845,32.3622,35.85,98,100,2.55,overcast clouds
105,Almunecar,ES,36.7339,-3.6907,74.88,87,42,11.59,scattered clouds
106,Lebu,CL,-37.6167,-73.65,55.71,69,100,15.82,overcast clouds
107,Solnechnyy,RU,50.7214,136.6319,25.95,78,100,7.31,overcast clouds
108,Port Augusta,AU,-32.5,137.7667,54.72,57,100,5.75,overcast clouds
109,Oyama,JP,36.3,139.8,57.58,64,98,3.58,light rain
110,Corn Island,NI,12.1694,-83.0418,82.45,77,98,19.82,overcast clouds
111,Pitimbu,BR,-7.4706,-34.8086,79.36,68,1,14.94,clear sky
112,Nantucket,US,41.2835,-70.0995,63.97,90,100,21.92,overcast clouds
113,Faanui,PF,-16.4833,-151.75,78.15,69,16,16.73,few clouds
114,Keetmanshoop,NA,-26.5833,18.1333,77.11,19,0,12.15,clear sky
115,Butaritari,KI,3.0707,172.7902,82.53,72,39,6.44,scattered clouds
116,Saint-Philippe,RE,-21.3585,55.7679,71.15,80,100,4.12,overcast clouds
117,Chibombo,ZM,-14.6569,28.0706,76.01,38,9,5.39,clear sky
118,Krasnoselkup,RU,65.7,82.4667,17.37,96,100,7.31,light snow
119,Maningrida,AU,-12.0667,134.2667,79.9,76,97,4.88,overcast clouds
120,Changji,CN,44.0167,87.3167,47.19,61,0,4.47,clear sky
121,Chuy,UY,-33.6971,-53.4616,71.24,75,87,13.73,overcast clouds
122,Sao Miguel,BR,-5.4667,-35.3667,83.17,72,26,19.06,scattered clouds
123,Ajaccio,FR,42.0,8.9167,60.78,55,0,2.3,clear sky
124,Khatanga,RU,71.9667,102.5,-6.43,100,60,3.06,broken clouds
125,Sisimiut,GL,66.9395,-53.6735,35.19,94,100,39.28,light rain
126,Jamestown,US,42.097,-79.2353,56.52,88,100,1.99,overcast clouds
127,Elko,US,41.0002,-115.5012,59.74,56,100,3.0,overcast clouds
